program_id,category,term,term_id,description,fdr,p_value,number_of_genes,number_of_genes_in_background,ncbiTaxonId,inputGenes
48,KEGG,mmu04151,NA,PI3K-Akt signaling pathway,0.0025,9.76e-05,15,353,10090,Lamb1|Lama4|Itgb3|Lamc1|Gng11|Il2rg|Col4a1|Col4a2|Pck2|Creb3l2|Itga9|Itga2|F2r|Gng5|Cdkn1a
48,KEGG,mmu04724,NA,Glutamatergic synapse,0.0038,0.00016,8,111,10090,Slc38a2|Gria4|Gng11|Gnai2|Gnai1|Slc38a1|Gng5|Grm6
48,Process,GO:0051924,NA,Regulation of calcium ion transport,0.0041,1.79e-05,15,302,10090,Tgfb1|Cyba|Rgs9|Itgb3|Fkbp1a|Serpine1|Calm2|F2rl3|Gnai2|F2r|Coro1a|Pde4b|Cabp1|Grm6|Calm1
48,Process,GO:0022604,NA,Regulation of cell morphogenesis,0.0048,2.17e-05,16,346,10090,Rhoc|Plxnd1|Myh9|Sparc|Lims1|Itgb3|Ache|Fgd1|Rhod|Hpn|Coro1a|Tpm1|Flna|Actr3|Myadm|Cfl1
48,Process,GO:0034329,NA,Cell junction assembly,0.0049,2.25e-05,14,271,10090,Rhoc|Plxnd1|Itgb3|Ache|Cdh2|Lamc1|Fscn1|Cd9|Rhod|Itga2|Cdh22|Actg1|Actb|Pecam1
48,Process,GO:0034612,NA,Response to tumor necrosis factor,0.0049,2.29e-05,12,201,10090,Birc3|Cyba|Cd40|Nos2|Lims1|Map4k3|Ybx3|Pck2|Ext1|Adamts7|Actr3|Cfl1
48,Process,GO:0060348,NA,Bone development,0.0067,3.26e-05,13,244,10090,Tgfb1|Sparc|Papss2|Ppib|Lrrc17|Ext1|Mmp14|Scube2|Anxa6|Adamts7|Flna|Serpinh1|Hspg2
48,KEGG,mmu04728,NA,Dopaminergic synapse,0.0084,0.00038,8,127,10090,Kif5b|Gria4|Gng11|Creb3l2|Gnai2|Gnai1|Gng5|Comt
48,Process,GO:0002685,NA,Regulation of leukocyte migration,0.0086,4.3e-05,13,251,10090,Tgfb1|Madcam1|Itgb3|Emilin1|Cd9|Dapk2|Serpine1|Itga2|Mmp14|Stk39|Coro1a|Pecam1|Apod
48,KEGG,mmu05142,NA,Chagas disease,0.0101,0.00049,7,100,10090,Bdkrb2|Tgfb1|Nos2|Ifngr2|Serpine1|Gnai2|Gnai1
48,KEGG,mmu04141,NA,Protein processing in endoplasmic reticulum,0.0104,0.00053,9,169,10090,Rrbp1|Tram1|Hspa5|Pdia3|Ckap4|Pdia6|Sec61b|Selenos|Sec61g
48,KEGG,mmu05146,NA,Amoebiasis,0.0104,0.00054,7,102,10090,Tgfb1|Lamb1|Nos2|Lama4|Lamc1|Col4a1|Col4a2
48,KEGG,mmu04015,NA,Rap1 signaling pathway,0.0104,0.00057,10,208,10090,Ralb|Pfn1|Itgb3|F2rl3|Lcp2|Gnai2|F2r|Actg1|Gnai1|Actb
48,Process,GO:0050878,NA,Regulation of body fluid levels,0.0112,5.82e-05,16,377,10090,Cd34|Cyba|Itgb3|Papss2|Anxa5|Tfpi2|Cd9|Serpine1|Pdia6|F2rl3|Gnai2|F2r|Ext1|Stk39|Flna|Nme1
48,KEGG,mmu05412,NA,Arrhythmogenic right ventricular cardiomyopathy,0.0113,0.00068,6,76,10090,Itgb3|Cdh2|Itga9|Itga2|Actg1|Actb
48,Process,GO:0071214,NA,Cellular response to abiotic stimulus,0.0123,6.54e-05,15,340,10090,Bdkrb2|Tgfb1|Cyba|Cd40|Rgs9|Itgb3|Slc38a2|Hspa5|Ybx3|Nox4|Piezo2|Itga2|Actb|Stk39|Cdkn1a
48,Process,GO:0071711,NA,Basement membrane organization,0.0131,7.13e-05,5,29,10090,Lamb1|Col4a1|Hpn|Ext1|Pxdn
48,KEGG,mmu04066,NA,HIF-1 signaling pathway,0.0131,0.00083,7,110,10090,Nos2|Ifngr2|Serpine1|Gapdh|Pfkp|Pfkfb3|Cdkn1a
48,KEGG,mmu04725,NA,Cholinergic synapse,0.0131,0.00083,7,110,10090,Ache|Kcnq4|Gng11|Creb3l2|Gnai2|Gnai1|Gng5
48,Process,GO:0032965,NA,Regulation of collagen biosynthetic process,0.0136,7.54e-05,6,49,10090,Tgfb1|Vim|Emilin1|Serpine1|Itga2|F2r
48,Process,GO:0045765,NA,Regulation of angiogenesis,0.0154,8.73e-05,14,309,10090,Plxnd1|Cd34|Cd40|Sparc|Itgb3|Vash1|Smoc2|Emilin1|Col4a2|Serpine1|Cysltr2|Adam12|Ecscr|Slc12a2
48,Process,GO:2001046,NA,Positive regulation of integrin-mediated signaling pathway,0.0158,9.09e-05,4,15,10090,Lamb1|Lims1|Lamc1|Flna
48,Process,GO:0010810,NA,Regulation of cell-substrate adhesion,0.0175,0.0001,12,237,10090,Lims1|Itgb3|Smoc2|Emilin1|Rhod|Serpine1|Actg1|Mmp14|Flna|Apod|Myadm|Cfl1
48,Process,GO:0032967,NA,Positive regulation of collagen biosynthetic process,0.0181,0.00011,5,32,10090,Tgfb1|Vim|Serpine1|Itga2|F2r
48,KEGG,mmu04380,NA,Osteoclast differentiation,0.0185,0.0013,7,119,10090,Tgfb1|Cyba|Itgb3|Ifngr2|Lcp2|Tnfrsf11b|Sirpa
48,KEGG,mmu04727,NA,GABAergic synapse,0.0185,0.0013,6,87,10090,Slc38a2|Gng11|Gnai2|Gnai1|Slc38a1|Gng5
48,Process,GO:1905912,NA,Regulation of calcium ion export across plasma membrane,0.0186,0.00011,3,5,10090,Rgs9|Calm2|Calm1
48,KEGG,mmu05205,NA,Proteoglycans in cancer,0.0192,0.0014,9,196,10090,Tgfb1|Itgb3|Sdc2|Itga2|Actg1|Actb|Flna|Hspg2|Cdkn1a
48,Process,GO:0071356,NA,Cellular response to tumor necrosis factor,0.0242,0.00015,10,175,10090,Birc3|Cyba|Cd40|Lims1|Ybx3|Pck2|Ext1|Adamts7|Actr3|Cfl1
48,Process,GO:1902904,NA,Negative regulation of supramolecular fiber organization,0.0242,0.00015,10,175,10090,Pfn1|Emilin1|Coro1a|Pecam1|Tmsb4x|Tpm1|Tmsb10|Hspg2|Myadm|Cfl1
48,Process,GO:0002687,NA,Positive regulation of leukocyte migration,0.0244,0.00016,10,176,10090,Tgfb1|Madcam1|Itgb3|Dapk2|Serpine1|Itga2|Mmp14|Stk39|Coro1a|Pecam1
48,Process,GO:0085029,NA,Extracellular matrix assembly,0.0244,0.00016,5,35,10090,Fkbp10|Tgfb1|Lamb1|Emilin1|Pxdn
48,Process,GO:0071260,NA,Cellular response to mechanical stimulus,0.0251,0.00017,7,83,10090,Tgfb1|Cyba|Cd40|Itgb3|Slc38a2|Piezo2|Itga2
48,Process,GO:0050900,NA,Leukocyte migration,0.0275,0.00019,12,253,10090,Cd34|Madcam1|Asb2|Dapk2|Ppib|Itga9|Ext1|Coro1a|Pecam1|Pde4b|Slc12a2|Sirpa
48,KEGG,mmu05140,NA,Leishmaniasis,0.0289,0.0023,5,66,10090,Tgfb1|Cyba|Nos2|Ifngr2|Marcksl1
48,KEGG,mmu05132,NA,Salmonella infection,0.0297,0.0024,9,212,10090,Birc3|Pfn1|Actg1|Arpc5|Actb|Flna|Dync1i1|Gapdh|Arpc4
48,Process,GO:0050808,NA,Synapse organization,0.0305,0.00021,14,338,10090,Plxnd1|Pfn1|Sncg|Ache|Cdh2|Col4a1|F2r|Actg1|Pcdhgc3|Actb|Cabp1|Flna|Actr3|Cfl1
48,Process,GO:0060351,NA,Cartilage development involved in endochondral bone morphogenesis,0.0318,0.00022,5,38,10090,Ext1|Scube2|Anxa6|Serpinh1|Hspg2
48,Process,GO:0034767,NA,Positive regulation of ion transmembrane transport,0.0324,0.00023,11,221,10090,Rgs9|Ifngr2|Kif5b|Calm2|F2rl3|F2r|Stk39|Flna|Grm6|Cfl1|Calm1
48,Process,GO:0022898,NA,Regulation of transmembrane transporter activity,0.0338,0.00024,13,301,10090,Rgs9|Ifngr2|Kif5b|Fkbp1a|Calm2|Scn1b|Actb|Stk39|Pde4b|Cabp1|Hecw2|Cfl1|Calm1
48,Process,GO:0043270,NA,Positive regulation of ion transport,0.0357,0.00026,14,345,10090,Rgs9|Ifngr2|Kif5b|Serpine1|Calm2|F2rl3|F2r|Scn1b|Stk39|Flna|Slc12a2|Grm6|Cfl1|Calm1
48,KEGG,mmu05100,NA,Bacterial invasion of epithelial cells,0.0361,0.003,5,71,10090,Actg1|Arpc5|Actb|Sept1|Arpc4
48,KEGG,mmu04928,NA,"Parathyroid hormone synthesis, secretion and action",0.0386,0.0034,6,106,10090,Creb3l2|Gnai2|Gnai1|Mmp14|Pde4b|Cdkn1a
48,Process,GO:0030048,NA,Actin filament-based movement,0.0407,0.0003,7,92,10090,Myh9|Myo1b|Myo1e|Frmd6|Scn1b|Tpm1|Myl6
48,Process,GO:0007596,NA,Blood coagulation,0.0411,0.00031,8,123,10090,Itgb3|Papss2|Anxa5|Tfpi2|Pdia6|F2rl3|F2r|Flna
48,Process,GO:0030837,NA,Negative regulation of actin filament polymerization,0.0411,0.00031,6,65,10090,Pfn1|Pecam1|Tmsb4x|Tpm1|Tmsb10|Myadm
48,Process,GO:0051893,NA,Regulation of focal adhesion assembly,0.0411,0.00031,6,65,10090,Lims1|Rhod|Actg1|Mmp14|Apod|Cfl1
48,Process,GO:0022617,NA,Extracellular matrix disassembly,0.0469,0.00038,4,23,10090,Noxo1|Lamc1|Hpn|Lcp1
48,Process,GO:0033627,NA,Cell adhesion mediated by integrin,0.0469,0.00038,5,43,10090,Itgb3|Emilin1|Itga9|Itga2|Ext1
48,KEGG,mmu05030,NA,Cocaine addiction,0.0469,0.0042,4,47,10090,Rgs9|Creb3l2|Gnai2|Gnai1
48,Process,GO:1904064,NA,Positive regulation of cation transmembrane transport,0.0479,0.0004,10,198,10090,Rgs9|Ifngr2|Kif5b|Calm2|F2rl3|F2r|Flna|Grm6|Cfl1|Calm1
48,Process,GO:2001257,NA,Regulation of cation channel activity,0.0479,0.0004,10,198,10090,Rgs9|Ifngr2|Kif5b|Fkbp1a|Calm2|Scn1b|Pde4b|Cabp1|Cfl1|Calm1
48,Process,GO:0009612,NA,Response to mechanical stimulus,0.0482,0.00041,11,237,10090,Tgfb1|Cyba|Cd40|Itgb3|Slc38a2|Hpn|Piezo2|Itga2|Actg1|Mmp14|Slc12a2
48,KEGG,mmu04670,NA,Leukocyte transendothelial migration,0.0487,0.0045,6,113,10090,Cyba|Gnai2|Actg1|Gnai1|Actb|Pecam1
48,Process,GO:0045047,NA,Protein targeting to ER,0.0489,0.00042,5,44,10090,Tram1|Hspa5|Spcs2|Sec61b|Sec61g
48,Process,GO:0060350,NA,Endochondral bone morphogenesis,0.0489,0.00042,6,69,10090,Ext1|Mmp14|Scube2|Anxa6|Serpinh1|Hspg2
48,Process,GO:2000377,NA,Regulation of reactive oxygen species metabolic process,0.0489,0.00042,9,163,10090,Tgfb1|Birc3|Cyba|Arf4|Nox4|Eif5a|Gnai2|Prcp|Cdkn1a
48,KEGG,mmu04530,NA,Tight junction,0.049,0.0047,7,152,10090,Myh9|Ybx3|Actg1|Tuba1a|Actb|Myl6|Actr3
48,Process,GO:0031204,NA,"Post-translational protein targeting to membrane, translocation",0.0495,0.00043,3,9,10090,Hspa5|Sec61b|Sec61g
48,Process,GO:1904783,NA,Positive regulation of NMDA glutamate receptor activity,0.0495,0.00043,3,9,10090,Rgs9|Ifngr2|Cfl1
49,KEGG,mmu05014,NA,Amyotrophic lateral sclerosis,4.27e-22,1.29e-24,41,362,10090,Tubb6|Psmb4|Ndufa2|Psmb6|Psma6|Psmc1|Atp5j|Atp5o|Alyref|Ndufb8|Atp5b|Atp5a1|Psmb7|Nup210l|Gpx7|Cox7a2|Ndufb7|Cox8a|Sem1|Tubb4b|Hnrnpa1|Cox6a1|Uqcrq|Uqcr10|Psmc3|Actg1|Cox6b1|Tuba1b|Hnrnpa2b1|Actb|Psmb3|Hnrnpa3|Atp5c1|Ndufb11|Atp5f1|Srsf3|Tpr|Cox6c|Cox4i1|Atp5g2|Ndufa4
49,KEGG,mmu05012,NA,Parkinson disease,3.13e-21,1.88e-23,34,238,10090,Gnai3|Tubb6|Psmb4|Ndufa2|Psmb6|Calm3|Psma6|Psmc1|Atp5j|Atp5o|Ndufb8|Atp5b|Atp5a1|Psmb7|Txn1|Cox7a2|Ndufb7|Cox8a|Sem1|Tubb4b|Cox6a1|Uqcrq|Uqcr10|Psmc3|Cox6b1|Tuba1b|Psmb3|Atp5c1|Ndufb11|Atp5f1|Cox6c|Cox4i1|Atp5g2|Ndufa4
49,Process,GO:0007059,NA,Chromosome segregation,1.82e-20,9.2e-24,37,293,10090,Cdc20|Trip13|Cenpk|Rad21|Nde1|Banf1|Nek2|Knl1|Bub1|Kif22|Cenpn|Kif23|Bub1b|Dlgap5|Smc4|Mnd1|Kif4|Ska1|Cenpe|Pmf1|Kif2c|Ccnb1|Cenph|Birc5|Cdca8|Cenpq|Spc24|Cenpw|Psrc1|Top1|Ran|Nuf2|Mad2l1|Knstrn|Cdk5rap2|Racgap1|Cenpf
49,KEGG,mmu03040,NA,Spliceosome,3.81e-18,3.44e-20,25,131,10090,Snrpd1|Cwc15|Lsm2|Snrpf|Snrpd3|Alyref|Lsm4|Snrpd2|Hnrnpa1|Lsm3|Hnrnpu|Snrpa|Snrpg|Srsf2|Ppih|Hnrnpa3|Hnrnpk|Srsf3|Snrpa1|Lsm6|Hnrnpm|Srsf1|Lsm5|Snrpe|Snrpc
49,KEGG,mmu05016,NA,Huntington disease,8.28e-18,9.97e-20,33,297,10090,Tubb6|Psmb4|Ndufa2|Psmb6|Psma6|Psmc1|Atp5j|Atp5o|Ndufb8|Atp5b|Atp5a1|Psmb7|Gpx7|Cox7a2|Ndufb7|Cox8a|Sem1|Tubb4b|Cox6a1|Uqcrq|Uqcr10|Psmc3|Cox6b1|Tuba1b|Psmb3|Atp5c1|Nrf1|Ndufb11|Atp5f1|Cox6c|Cox4i1|Atp5g2|Ndufa4
49,KEGG,mmu05020,NA,Prion disease,1.94e-17,2.92e-19,31,263,10090,Tubb6|Psmb4|Ndufa2|Psmb6|Psma6|Psmc1|Atp5j|Atp5o|Ndufb8|Atp5b|Atp5a1|Psmb7|Cox7a2|Ndufb7|Cox8a|Sem1|Tubb4b|Cox6a1|Uqcrq|Uqcr10|Psmc3|Cox6b1|Tuba1b|Psmb3|Atp5c1|Ndufb11|Atp5f1|Cox6c|Cox4i1|Atp5g2|Ndufa4
49,Process,GO:0051983,NA,Regulation of chromosome segregation,4.54e-16,4.59e-19,24,131,10090,Cdc20|Trip13|Rad21|Anapc11|Bub1|Mki67|Bub1b|Anapc15|Hnrnpu|Smc4|Cenpe|Kif2c|Ccnb1|Tacc3|Birc5|Cdca8|Anapc5|Spc24|Actb|Nuf2|Mad2l1|Zwilch|Tpr|Cdk5rap2
49,KEGG,mmu05010,NA,Alzheimer disease,1.13e-15,2.03e-17,33,360,10090,Tubb6|Psmb4|Ndufa2|Psmb6|Calm3|Psma6|Psmc1|Atp5j|Atp5o|Ndufb8|Atp5b|Atp5a1|Psmb7|Cox7a2|Ndufb7|Cox8a|Sem1|Tubb4b|Cox6a1|Uqcrq|Uqcr10|Psmc3|Cox6b1|Tuba1b|Psmb3|Atp5c1|Ndufb11|Atp5f1|Gapdh|Cox6c|Cox4i1|Atp5g2|Ndufa4
49,Process,GO:0008380,NA,RNA splicing,3.15e-15,3.78e-18,34,364,10090,Snrpd1|Cwc15|Lsm2|Snrpf|Snrpd3|Alyref|Raly|Larp7|Psip1|Sfpq|Lsm4|Snrpd2|Hnrnpa1|Lsm3|Hnrnpu|Ybx1|Snrpa|Snrpg|Hnrnpa2b1|Srsf2|Ppih|Hnrnpa3|Hnrnpk|Srsf3|Snrpa1|Lsm6|Hnrnpm|Srsf1|Ptbp1|Lsm5|Snrpe|Hnrnpf|Ddx39|Snrpc
49,Process,GO:0006397,NA,mRNA processing,5.06e-15,6.39e-18,37,452,10090,Snrpd1|Cwc15|Lsm2|Snrpf|Snrpd3|Alyref|Raly|Larp7|Psip1|Sfpq|Nudt21|Lsm4|Snrpd2|Hnrnpa1|Lsm3|Hnrnpu|Khdrbs1|Ybx1|Snrpa|Snrpg|Hnrnpa2b1|Srsf2|Ppih|Hnrnpa3|Hnrnpk|Srsf3|Snrpa1|Lsm6|Hnrnpm|Srsf1|Ptbp1|Lsm5|Snrpe|Hnrnpf|Ddx39|Hnrnpl|Snrpc
49,Process,GO:0033045,NA,Regulation of sister chromatid segregation,1.24e-14,1.65e-17,21,105,10090,Cdc20|Trip13|Rad21|Anapc11|Bub1|Bub1b|Anapc15|Hnrnpu|Cenpe|Ccnb1|Tacc3|Birc5|Cdca8|Anapc5|Spc24|Actb|Nuf2|Mad2l1|Zwilch|Tpr|Cdk5rap2
49,Process,GO:1902850,NA,Microtubule cytoskeleton organization involved in mitosis,2.8e-14,4.06e-17,22,127,10090,Cdc20|Rhoa|Nde1|Nek2|Gpsm2|Stmn1|Kif23|Dlgap5|Kif4|Cenpe|Ccnb1|Tacc3|Cenph|Birc5|Cdca8|Ckap5|Nuf2|Mad2l1|Cdk5rap2|Cenpa|Racgap1|Tpx2
49,Process,GO:1905818,NA,Regulation of chromosome separation,2.94e-14,4.44e-17,21,111,10090,Cdc20|Trip13|Rad21|Anapc11|Bub1|Bub1b|Anapc15|Smc4|Cenpe|Ccnb1|Tacc3|Birc5|Cdca8|Anapc5|Spc24|Actb|Nuf2|Mad2l1|Zwilch|Tpr|Cdk5rap2
49,Process,GO:0010965,NA,Regulation of mitotic sister chromatid separation,3.12e-14,4.92e-17,20,96,10090,Cdc20|Trip13|Rad21|Anapc11|Bub1|Bub1b|Anapc15|Cenpe|Ccnb1|Tacc3|Birc5|Cdca8|Anapc5|Spc24|Actb|Nuf2|Mad2l1|Zwilch|Tpr|Cdk5rap2
49,Process,GO:0033044,NA,Regulation of chromosome organization,3.16e-14,5.18e-17,28,249,10090,Cdc20|Trip13|Rad21|Anapc11|Nek2|Bub1|Sfpq|Bub1b|Anapc15|Hnrnpa1|Hnrnpu|Smc4|Cenpe|Ccnb1|Tacc3|Birc5|Cdca8|Anapc5|Hnrnpa2b1|Spc24|Actb|H3f3b|Nuf2|Mad2l1|Zwilch|Tpr|Cdk5rap2|Hnrnpd
49,KEGG,mmu00190,NA,Oxidative phosphorylation,3.55e-14,7.49e-16,21,130,10090,Ndufa2|Atp5j|Atp5o|Ndufb8|Atp5b|Atp5a1|Cox7a2|Ndufb7|Cox8a|Cox6a1|Uqcrq|Uqcr10|Cox6b1|Atp5c1|Ndufb11|Atp5f1|Cox6c|Atp5j2|Cox4i1|Atp5g2|Ndufa4
49,Process,GO:0033047,NA,Regulation of mitotic sister chromatid segregation,4.03e-14,6.86e-17,17,57,10090,Cdc20|Trip13|Rad21|Bub1|Bub1b|Anapc15|Hnrnpu|Cenpe|Ccnb1|Birc5|Cdca8|Spc24|Nuf2|Mad2l1|Zwilch|Tpr|Cdk5rap2
49,Process,GO:0098813,NA,Nuclear chromosome segregation,4.97e-14,8.77e-17,27,232,10090,Cdc20|Trip13|Cenpk|Rad21|Nek2|Knl1|Bub1|Kif22|Kif23|Bub1b|Smc4|Mnd1|Kif4|Cenpe|Kif2c|Ccnb1|Birc5|Cdca8|Cenpq|Spc24|Psrc1|Ran|Nuf2|Mad2l1|Knstrn|Racgap1|Cenpf
49,Process,GO:0030071,NA,Regulation of mitotic metaphase/anaphase transition,1.6e-13,2.93e-16,19,91,10090,Cdc20|Trip13|Rad21|Anapc11|Bub1|Bub1b|Anapc15|Cenpe|Ccnb1|Birc5|Cdca8|Anapc5|Spc24|Actb|Nuf2|Mad2l1|Zwilch|Tpr|Cdk5rap2
49,Process,GO:0000280,NA,Nuclear division,3.86e-13,7.8e-16,30,330,10090,Cdc20|Rhoa|Trip13|Cenpk|Nde1|Banf1|Nek2|Bub1|Kif22|Ccnb2|Kif23|Bub1b|Smc4|Mnd1|Kif4|Cenpe|Aspm|Kif2c|Ccnb1|Cks2|Ube2s|Birc5|Cdca8|Psrc1|Ran|Nuf2|Mad2l1|Knstrn|Racgap1|Tpx2
49,Process,GO:0140014,NA,Mitotic nuclear division,6.16e-13,1.36e-15,23,173,10090,Cdc20|Rhoa|Cenpk|Nde1|Banf1|Nek2|Kif22|Kif23|Smc4|Kif4|Cenpe|Kif2c|Ccnb1|Ube2s|Birc5|Cdca8|Psrc1|Ran|Nuf2|Mad2l1|Knstrn|Racgap1|Tpx2
49,Process,GO:0006119,NA,Oxidative phosphorylation,9.37e-13,2.19e-15,20,120,10090,Ndufa2|Atp5j|Atp5o|Ndufb8|Atp5b|Atp5a1|Cox7a2|Ndufb7|Cox8a|Cox6a1|Uqcrq|Uqcr10|Cox6b1|Atp5c1|Ndufb11|Atp5f1|Cox6c|Atp5j2|Cox4i1|Cox5b
49,Process,GO:0007088,NA,Regulation of mitotic nuclear division,9.37e-13,2.19e-15,20,120,10090,Cdc20|Trip13|Rad21|Anapc11|Bub1|Mki67|Bub1b|Anapc15|Cenpe|Ccnb1|Birc5|Cdca8|Anapc5|Kif20b|Spc24|Nuf2|Mad2l1|Zwilch|Tpr|Cdk5rap2
49,Process,GO:0000819,NA,Sister chromatid segregation,1.44e-12,3.63e-15,21,142,10090,Cdc20|Cenpk|Rad21|Nek2|Bub1|Kif22|Kif23|Bub1b|Smc4|Kif4|Cenpe|Kif2c|Ccnb1|Birc5|Cdca8|Psrc1|Ran|Nuf2|Mad2l1|Knstrn|Racgap1
49,Process,GO:0007052,NA,Mitotic spindle organization,1.89e-12,4.88e-15,18,92,10090,Cdc20|Rhoa|Nek2|Gpsm2|Stmn1|Kif23|Dlgap5|Kif4|Cenpe|Ccnb1|Tacc3|Cenph|Birc5|Cdca8|Ckap5|Nuf2|Racgap1|Tpx2
49,Process,GO:0000398,NA,"mRNA splicing, via spliceosome",2.21e-12,5.85e-15,25,231,10090,Snrpd1|Cwc15|Lsm2|Snrpf|Snrpd3|Psip1|Sfpq|Lsm4|Snrpd2|Hnrnpa1|Lsm3|Snrpa|Snrpg|Hnrnpa2b1|Srsf2|Hnrnpa3|Srsf3|Snrpa1|Lsm6|Hnrnpm|Srsf1|Lsm5|Snrpe|Ddx39|Snrpc
49,Process,GO:0007051,NA,Spindle organization,5.72e-12,1.73e-14,21,155,10090,Cdc20|Rhoa|Nek2|Gpsm2|Stmn1|Ccnb2|Kif23|Dlgap5|Kif4|Cenpe|Aspm|Ccnb1|Tacc3|Cenph|Birc5|Cdca8|Ckap5|Nuf2|Knstrn|Racgap1|Tpx2
49,KEGG,mmu04714,NA,Thermogenesis,9.24e-12,2.23e-13,23,225,10090,Ndufa2|Atp5j|Atp5o|Ndufb8|Atp5b|Atp5a1|Cox7a2|Ndufb7|Cox8a|Cox6a1|Uqcrq|Uqcr10|Actg1|Cox6b1|Actb|Atp5c1|Ndufb11|Atp5f1|Cox6c|Atp5j2|Cox4i1|Atp5g2|Ndufa4
49,Process,GO:1901990,NA,Regulation of mitotic cell cycle phase transition,2.24e-11,7.36e-14,28,340,10090,Rdx|Cdc20|Trip13|Rad21|Lmnb1|Anapc11|Bub1|Larp7|Rrm1|Bub1b|Anapc15|Cdc25c|Cenpe|Ccnb1|Birc5|Cdca8|Anapc5|Spc24|Actb|Anp32b|Nuf2|Mad2l1|Zwilch|Tpr|Cdk5rap2|Rps27l|Cenpf|Dbf4
49,Process,GO:0000070,NA,Mitotic sister chromatid segregation,6.46e-11,2.2e-13,18,118,10090,Cdc20|Cenpk|Nek2|Kif22|Kif23|Smc4|Kif4|Cenpe|Kif2c|Ccnb1|Birc5|Cdca8|Psrc1|Ran|Nuf2|Mad2l1|Knstrn|Racgap1
49,Process,GO:0045787,NA,Positive regulation of cell cycle,1.21e-10,4.21e-13,28,367,10090,Rdx|Rhoa|Rad21|Lmnb1|Anapc11|Gpsm2|Larp7|Cks1b|Sfpq|Rrm1|Kif23|Hnrnpu|Smc4|Cdc25c|Cenpe|Ccnb1|Cks2|Birc5|Cdca8|Hmgb1|Anapc5|Kif20b|Psrc1|Anp32b|Mad2l1|Tpr|Racgap1|Dbf4
49,Process,GO:0071824,NA,protein-DNA complex subunit organization,1.82e-10,6.54e-13,23,238,10090,Hist1h2bc|Cenpk|Nasp|Cenpn|Gtf2h5|Dlgap5|Ptma|Hist1h1c|Cenpe|H1fx|Taf7|Cenph|Pih1d1|Hist1h4i|Cenpw|Set|Anp32b|H3f3b|Cenpa|Anp32e|Hp1bp3|H1f0|Nap1l1
49,Process,GO:0045841,NA,Negative regulation of mitotic metaphase/anaphase transition,2.37e-10,8.98e-13,12,36,10090,Cdc20|Trip13|Rad21|Bub1|Bub1b|Cenpe|Birc5|Spc24|Nuf2|Mad2l1|Zwilch|Tpr
49,Process,GO:0065004,NA,protein-DNA complex assembly,2.6e-10,1.02e-12,21,195,10090,Hist1h2bc|Cenpk|Nasp|Cenpn|Gtf2h5|Dlgap5|Hist1h1c|Cenpe|H1fx|Taf7|Cenph|Pih1d1|Hist1h4i|Cenpw|Set|Anp32b|H3f3b|Cenpa|Hp1bp3|H1f0|Nap1l1
49,Process,GO:0090068,NA,Positive regulation of cell cycle process,2.69e-10,1.07e-12,24,270,10090,Rdx|Rhoa|Rad21|Lmnb1|Anapc11|Gpsm2|Larp7|Sfpq|Rrm1|Kif23|Hnrnpu|Smc4|Cdc25c|Cenpe|Ccnb1|Birc5|Cdca8|Anapc5|Kif20b|Anp32b|Mad2l1|Tpr|Racgap1|Dbf4
49,Process,GO:2001251,NA,Negative regulation of chromosome organization,5.97e-10,2.64e-12,15,83,10090,Cdc20|Trip13|Rad21|Bub1|Bub1b|Hnrnpa1|Hnrnpu|Cenpe|Birc5|Spc24|H3f3b|Nuf2|Mad2l1|Zwilch|Tpr
49,Process,GO:1901987,NA,Regulation of cell cycle phase transition,6.79e-10,3.09e-12,29,432,10090,Rdx|Cdc20|Trip13|Rad21|Lmnb1|Anapc11|Bub1|Larp7|Rrm1|Bub1b|Anapc15|Cdc25c|Cenpe|Ccnb1|Birc5|Cdca8|Anapc5|Spc24|Actb|Anp32b|Nuf2|Tmsb4x|Mad2l1|Zwilch|Tpr|Cdk5rap2|Rps27l|Cenpf|Dbf4
49,Process,GO:0140694,NA,Non-membrane-bounded organelle assembly,8.91e-10,4.11e-12,25,317,10090,Cdc20|Rhoa|Cenpk|Nek2|Cenpn|Lsm4|Ccnb2|Kif23|Rpsa|Dlgap5|Lsm3|Kif4|Cenpe|Aspm|Actg1|Cenph|Birc5|Cdca8|Cenpw|Cdk5rap2|Rps27l|Cenpa|Racgap1|Ddx6|Tpx2
49,Process,GO:0007094,NA,Mitotic spindle assembly checkpoint signaling,2.26e-09,1.07e-11,11,34,10090,Cdc20|Trip13|Bub1|Bub1b|Cenpe|Birc5|Spc24|Nuf2|Mad2l1|Zwilch|Tpr
49,Process,GO:0000281,NA,Mitotic cytokinesis,3.04e-09,1.55e-11,14,78,10090,Rhoa|Stmn1|Kif23|Ckap2|Anln|Kif4|Birc5|Cdca8|Cenpa|Racgap1|Sept7|Cep55|Cfl1|Kif20a
49,Process,GO:0051383,NA,Kinetochore organization,1.02e-08,5.42e-11,9,19,10090,Cenpk|Cenpn|Dlgap5|Smc4|Cenpe|Cenph|Cenpw|Nuf2|Cenpa
49,Process,GO:1903311,NA,Regulation of mRNA metabolic process,2.99e-08,1.62e-10,23,319,10090,Hnrnpa0|Vim|Exosc8|Larp7|Nudt21|Rbm3|Hnrnpa1|Hnrnpu|Khdrbs1|Ccnb1|Ybx1|Snrpa|Hnrnpa2b1|Dazap1|Srsf2|Hnrnpab|Hnrnpk|Srsf3|Hnrnpm|Srsf1|Ptbp1|Hnrnpd|Hnrnpl
